job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,params_i,dd_model,runtime,nb_clades
25111557,NA,NA,NA,0.369,0,27,1,2,DD,NA,NA
25111569,NA,NA,NA,0.369,0,30,1,2,DD,NA,NA
25111571,NA,NA,NA,0.369,0,30,1,4,DD,NA,NA
25111561,NA,NA,NA,0.369,0,28,1,2,DD,NA,NA
25111563,NA,NA,NA,0.369,0,28,1,4,DD,NA,NA
25111562,NA,NA,NA,0.369,0,28,1,3,DD,NA,NA
25111560,NA,NA,NA,0.369,0,28,1,1,DD,NA,NA
25111564,NA,NA,NA,0.369,0,29,1,1,DD,NA,NA
25111559,NA,NA,NA,0.369,0,27,1,4,DD,NA,NA
25111579,NA,NA,NA,0.369,0,32,1,4,DD,NA,NA
25111576,NA,NA,NA,0.369,0,32,1,1,DD,NA,NA
25111578,NA,NA,NA,0.369,0,32,1,3,DD,NA,NA
25111580,NA,NA,NA,0.369,0,33,1,1,DD,NA,NA
25111575,NA,NA,NA,0.369,0,31,1,4,DD,NA,NA
25111577,NA,NA,NA,0.369,0,32,1,2,DD,NA,NA
25111574,NA,NA,NA,0.369,0,31,1,3,DD,NA,NA
25111602,NA,NA,NA,0.369,0,38,1,3,DD,NA,NA
25111601,NA,NA,NA,0.369,0,38,1,2,DD,NA,NA
25111600,NA,NA,NA,0.369,0,38,1,1,DD,NA,NA
25111597,NA,NA,NA,0.369,0,37,1,2,DD,NA,NA
25111598,NA,NA,NA,0.369,0,37,1,3,DD,NA,NA
25111599,NA,NA,NA,0.369,0,37,1,4,DD,NA,NA
25111595,NA,NA,NA,0.369,0,36,1,4,DD,NA,NA
25111596,NA,NA,NA,0.369,0,37,1,1,DD,NA,NA
25111603,NA,NA,NA,0.369,0,38,1,4,DD,NA,NA
25111604,NA,NA,NA,0.369,0,39,1,1,DD,NA,NA
25111606,NA,NA,NA,0.369,0,39,1,3,DD,NA,NA
25111605,NA,NA,NA,0.369,0,39,1,2,DD,NA,NA
25111607,NA,NA,NA,0.369,0,39,1,4,DD,NA,NA
25111609,NA,NA,NA,0.369,0,40,1,2,DD,NA,NA
25111608,NA,NA,NA,0.369,0,40,1,1,DD,NA,NA
25111610,NA,NA,NA,0.369,0,40,1,3,DD,NA,NA
25111611,NA,NA,NA,0.369,0,40,1,4,DD,NA,NA
25111613,NA,NA,NA,0.369,0,41,1,2,DD,NA,NA
25111612,NA,NA,NA,0.369,0,41,1,1,DD,NA,NA
25111614,NA,NA,NA,0.369,0,41,1,3,DD,NA,NA
25111616,NA,NA,NA,0.369,0,42,1,1,DD,NA,NA
25111615,NA,NA,NA,0.369,0,41,1,4,DD,NA,NA
25111617,NA,NA,NA,0.369,0,42,1,2,DD,NA,NA
25111618,NA,NA,NA,0.369,0,42,1,3,DD,NA,NA
25111619,NA,NA,NA,0.369,0,42,1,4,DD,NA,NA
25111620,NA,NA,NA,0.369,0,43,1,1,DD,NA,NA
25111622,NA,NA,NA,0.369,0,43,1,3,DD,NA,NA
25111621,NA,NA,NA,0.369,0,43,1,2,DD,NA,NA
25111623,NA,NA,NA,0.369,0,43,1,4,DD,NA,NA
25111624,NA,NA,NA,0.369,0,44,1,1,DD,NA,NA
25111625,NA,NA,NA,0.369,0,44,1,2,DD,NA,NA
25111626,NA,NA,NA,0.369,0,44,1,3,DD,NA,NA
25111627,NA,NA,NA,0.369,0,44,1,4,DD,NA,NA
25111629,NA,NA,NA,0.369,0,45,1,2,DD,NA,NA
25111628,NA,NA,NA,0.369,0,45,1,1,DD,NA,NA
25111633,NA,NA,NA,0.369,0,46,1,2,DD,NA,NA
25111632,NA,NA,NA,0.369,0,46,1,1,DD,NA,NA
25111631,NA,NA,NA,0.369,0,45,1,4,DD,NA,NA
25111630,NA,NA,NA,0.369,0,45,1,3,DD,NA,NA
25111641,NA,NA,NA,0.369,0,48,1,2,DD,NA,NA
25111634,NA,NA,NA,0.369,0,46,1,3,DD,NA,NA
25111636,NA,NA,NA,0.369,0,47,1,1,DD,NA,NA
25111651,NA,NA,NA,0.369,0,50,1,4,DD,NA,NA
25111652,NA,NA,NA,0.369,0,51,1,1,DD,NA,NA
25111644,NA,NA,NA,0.369,0,49,1,1,DD,NA,NA
25111648,NA,NA,NA,0.369,0,50,1,1,DD,NA,NA
25111650,NA,NA,NA,0.369,0,50,1,3,DD,NA,NA
25111638,NA,NA,NA,0.369,0,47,1,3,DD,NA,NA
25111635,NA,NA,NA,0.369,0,46,1,4,DD,NA,NA
25111645,NA,NA,NA,0.369,0,49,1,2,DD,NA,NA
25111639,NA,NA,NA,0.369,0,47,1,4,DD,NA,NA
25111637,NA,NA,NA,0.369,0,47,1,2,DD,NA,NA
25111665,NA,NA,NA,0.369,0,54,1,2,DD,NA,NA
25111664,NA,NA,NA,0.369,0,54,1,1,DD,NA,NA
25111649,NA,NA,NA,0.369,0,50,1,2,DD,NA,NA
25111640,NA,NA,NA,0.369,0,48,1,1,DD,NA,NA
25111643,NA,NA,NA,0.369,0,48,1,4,DD,NA,NA
25111669,NA,NA,NA,0.369,0,55,1,2,DD,NA,NA
25111647,NA,NA,NA,0.369,0,49,1,4,DD,NA,NA
25111667,NA,NA,NA,0.369,0,54,1,4,DD,NA,NA
25111653,NA,NA,NA,0.369,0,51,1,2,DD,NA,NA
25111672,NA,NA,NA,0.369,0,56,1,1,DD,NA,NA
25111668,NA,NA,NA,0.369,0,55,1,1,DD,NA,NA
25111663,NA,NA,NA,0.369,0,53,1,4,DD,NA,NA
25111670,NA,NA,NA,0.369,0,55,1,3,DD,NA,NA
25111666,NA,NA,NA,0.369,0,54,1,3,DD,NA,NA
25111671,NA,NA,NA,0.369,0,55,1,4,DD,NA,NA
25111654,NA,NA,NA,0.369,0,51,1,3,DD,NA,NA
25111655,NA,NA,NA,0.369,0,51,1,4,DD,NA,NA
25111656,NA,NA,NA,0.369,0,52,1,1,DD,NA,NA
25111657,NA,NA,NA,0.369,0,52,1,2,DD,NA,NA
25111646,NA,NA,NA,0.369,0,49,1,3,DD,NA,NA
25111659,NA,NA,NA,0.369,0,52,1,4,DD,NA,NA
25111658,NA,NA,NA,0.369,0,52,1,3,DD,NA,NA
25111660,NA,NA,NA,0.369,0,53,1,1,DD,NA,NA
25111661,NA,NA,NA,0.369,0,53,1,2,DD,NA,NA
25111662,NA,NA,NA,0.369,0,53,1,3,DD,NA,NA
25111642,NA,NA,NA,0.369,0,48,1,3,DD,NA,NA
25111673,NA,NA,NA,0.369,0,56,1,2,DD,NA,NA
25111674,NA,NA,NA,0.369,0,56,1,3,DD,NA,NA
25111675,NA,NA,NA,0.369,0,56,1,4,DD,NA,NA
25111676,NA,NA,NA,0.369,0,57,1,1,DD,NA,NA
25111677,NA,NA,NA,0.369,0,57,1,2,DD,NA,NA
25111678,NA,NA,NA,0.369,0,57,1,3,DD,NA,NA
25111684,NA,NA,NA,0.369,0,59,1,1,DD,NA,NA
25111685,NA,NA,NA,0.369,0,59,1,2,DD,NA,NA
25111686,NA,NA,NA,0.369,0,59,1,3,DD,NA,NA
25111687,NA,NA,NA,0.369,0,59,1,4,DD,NA,NA
25111681,NA,NA,NA,0.369,0,58,1,2,DD,NA,NA
25111682,NA,NA,NA,0.369,0,58,1,3,DD,NA,NA
25111679,NA,NA,NA,0.369,0,57,1,4,DD,NA,NA
25111680,NA,NA,NA,0.369,0,58,1,1,DD,NA,NA
25111683,NA,NA,NA,0.369,0,58,1,4,DD,NA,NA
25111688,NA,NA,NA,0.369,0,60,1,1,DD,NA,NA
25111689,NA,NA,NA,0.369,0,60,1,2,DD,NA,NA
25111690,NA,NA,NA,0.369,0,60,1,3,DD,NA,NA
25111691,NA,NA,NA,0.369,0,60,1,4,DD,NA,NA
25111692,NA,NA,NA,0.369,0,61,1,1,DD,NA,NA
25111693,NA,NA,NA,0.369,0,61,1,2,DD,NA,NA
25111694,NA,NA,NA,0.369,0,61,1,3,DD,NA,NA
25111695,NA,NA,NA,0.369,0,61,1,4,DD,NA,NA
25111696,NA,NA,NA,0.369,0,62,1,1,DD,NA,NA
25111697,NA,NA,NA,0.369,0,62,1,2,DD,NA,NA
25111698,NA,NA,NA,0.369,0,62,1,3,DD,NA,NA
25111700,NA,NA,NA,0.369,0,63,1,1,DD,NA,NA
25111699,NA,NA,NA,0.369,0,62,1,4,DD,NA,NA
25111701,NA,NA,NA,0.369,0,63,1,2,DD,NA,NA
25111703,NA,NA,NA,0.369,0,63,1,4,DD,NA,NA
25111704,NA,NA,NA,0.369,0,64,1,1,DD,NA,NA
