batch_id,job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,comrad_version
b92134,20007903,2021-05-11T13:34:43Z,COMPLETED,00:07:34,0.9,2,ll,[1] ‘1.18.0’
b92134,20007900,2021-05-11T13:34:43Z,COMPLETED,00:07:49,0.8,2,pl,[1] ‘1.18.0’
b92134,20007901,2021-05-11T13:34:43Z,COMPLETED,00:06:36,0.8,2,pp,[1] ‘1.18.0’
b92134,20007904,2021-05-11T13:35:43Z,COMPLETED,00:07:31,0.9,2,lx,[1] ‘1.18.0’
b92134,20007905,2021-05-11T13:35:43Z,COMPLETED,00:06:33,0.9,2,xc,[1] ‘1.18.0’
b92134,20007906,2021-05-11T13:35:44Z,COMPLETED,00:09:19,0.9,2,xl,[1] ‘1.18.0’
b92134,20007907,2021-05-11T13:35:44Z,COMPLETED,00:08:44,0.9,2,xx,[1] ‘1.18.0’
b92134,20007912,2021-05-11T13:36:44Z,COMPLETED,00:04:23,1,2,lc,[1] ‘1.18.0’
b92134,20007910,2021-05-11T13:36:45Z,COMPLETED,00:09:49,0.9,2,pl,[1] ‘1.18.0’
b92134,20007909,2021-05-11T13:36:45Z,COMPLETED,00:06:21,0.9,2,lp,[1] ‘1.18.0’
b92134,20007913,2021-05-11T13:36:45Z,COMPLETED,00:07:54,1,2,ll,[1] ‘1.18.0’
b92134,20007908,2021-05-11T13:36:45Z,COMPLETED,00:08:19,0.9,2,pc,[1] ‘1.18.0’
b92134,20007911,2021-05-11T13:36:45Z,COMPLETED,00:08:05,0.9,2,pp,[1] ‘1.18.0’
b92134,20007914,2021-05-11T13:37:43Z,COMPLETED,00:06:45,1,2,lx,[1] ‘1.18.0’
b92134,20007915,2021-05-11T13:37:43Z,COMPLETED,00:08:14,1,2,xc,[1] ‘1.18.0’
b92134,20007916,2021-05-11T13:38:45Z,COMPLETED,00:09:00,1,2,xl,[1] ‘1.18.0’
b92134,20007918,2021-05-11T13:38:45Z,COMPLETED,00:07:31,1,2,xx,[1] ‘1.18.0’
b92134,20007919,2021-05-11T13:38:45Z,COMPLETED,00:07:07,1,2,pc,[1] ‘1.18.0’
b92134,20007923,2021-05-11T13:39:46Z,COMPLETED,00:16:15,0.1,3,lc,[1] ‘1.18.0’
b92134,20007922,2021-05-11T13:39:46Z,COMPLETED,00:06:56,1,2,pp,[1] ‘1.18.0’
b92134,20007921,2021-05-11T13:39:46Z,COMPLETED,00:09:37,1,2,pl,[1] ‘1.18.0’
b92134,20007920,2021-05-11T13:39:46Z,COMPLETED,00:06:30,1,2,lp,[1] ‘1.18.0’
b92134,20007924,2021-05-11T13:40:46Z,COMPLETED,00:42:35,0.1,3,ll,[1] ‘1.18.0’
b92134,20007926,2021-05-11T13:40:46Z,COMPLETED,00:47:05,0.1,3,xc,[1] ‘1.18.0’
b92134,20007925,2021-05-11T13:40:46Z,COMPLETED,01:03:40,0.1,3,lx,[1] ‘1.18.0’
b92134,20007927,2021-05-11T13:41:48Z,COMPLETED,01:15:19,0.1,3,xl,[1] ‘1.18.0’
b92134,20007928,2021-05-11T13:41:48Z,COMPLETED,01:49:12,0.1,3,xx,[1] ‘1.18.0’
b92134,20007929,2021-05-11T13:42:46Z,COMPLETED,00:48:47,0.1,3,pc,[1] ‘1.18.0’
b92134,20007931,2021-05-11T13:42:47Z,COMPLETED,01:39:58,0.1,3,pl,[1] ‘1.18.0’
b92134,20007932,2021-05-11T13:42:47Z,COMPLETED,02:05:27,0.1,3,pp,[1] ‘1.18.0’
b92134,20007930,2021-05-11T13:42:47Z,COMPLETED,01:01:22,0.1,3,lp,[1] ‘1.18.0’
b92134,20007937,2021-05-11T13:43:17Z,COMPLETED,00:32:07,0.2,3,xl,[1] ‘1.18.0’
b92134,20007933,2021-05-11T13:43:18Z,COMPLETED,00:10:52,0.2,3,lc,[1] ‘1.18.0’
b92134,20007934,2021-05-11T13:43:18Z,COMPLETED,00:21:14,0.2,3,ll,[1] ‘1.18.0’
b92134,20007935,2021-05-11T13:43:18Z,COMPLETED,00:31:27,0.2,3,lx,[1] ‘1.18.0’
b92134,20007942,2021-05-11T13:43:19Z,COMPLETED,00:52:31,0.2,3,pp,[1] ‘1.18.0’
b92134,20007936,2021-05-11T13:43:19Z,COMPLETED,00:26:56,0.2,3,xc,[1] ‘1.18.0’
b92134,20007941,2021-05-11T13:43:19Z,COMPLETED,00:46:42,0.2,3,pl,[1] ‘1.18.0’
b92134,20007940,2021-05-11T13:43:19Z,COMPLETED,00:28:57,0.2,3,lp,[1] ‘1.18.0’
b92134,20007938,2021-05-11T13:43:19Z,COMPLETED,00:45:36,0.2,3,xx,[1] ‘1.18.0’
b92134,20007939,2021-05-11T13:43:19Z,COMPLETED,00:30:25,0.2,3,pc,[1] ‘1.18.0’
b92134,20007943,2021-05-11T13:43:21Z,COMPLETED,00:09:16,0.3,3,lc,[1] ‘1.18.0’
