batch_id,job_id,time_subm,status,runtime,nb_gens,competition_sd,carrying_cap_sd,carrying_cap_opt,trait_opt,growth_rate,prob_mutation,mutation_sd,trait_dist_sp,switch_carr_cap_sd_after,switch_carr_cap_sd_to,seed,comrad_version,sampling_on_event,sampling_freq,sampling_frac,brute_force_opt,csv_size,t_last_gen,d_last_gen,n_last_gen
b11572,21501812,2021-09-25T16:55:12Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,38463,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501813,2021-09-25T16:55:12Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,25461,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501814,2021-09-25T16:55:14Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,20869,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501815,2021-09-25T16:55:14Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,28592,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501816,2021-09-25T16:55:15Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,16665,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501817,2021-09-25T16:55:15Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,14618,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501818,2021-09-25T16:55:15Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,1853,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501819,2021-09-25T16:55:15Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,27582,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501820,2021-09-25T16:55:17Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,40217,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501821,2021-09-25T16:55:17Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,40122,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
